Bus No,Start,Destination,Route,Area Section
254,High Court,Iyyapanthangal,"SRMC, Porur, Ramapuram, Guindy, Saidapet, SIET, DMS, TVS, LIC, Central R.S.",High Court
500B,High Court,S.P.KOIL,"Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet, DMS, Central R.S",High Court
A18,High Court,Vandalur Zoo,"LIC, TVS, Saidapet, Guindy, Pallavaram, Chromepet, Tambaram",High Court
E18,High Court,Guduvanchery,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo",High Court
E18 xt,High Court,Maraimalai nagar,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo, Guduvanchery",High Court
A51,High Court,Tambaram East,"Camp Road, Kamarajapuram, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",High Court
60A,High Court,Kundrathur Mu rugan Temple,"Kundrathur, Andankuppam, Anakaputhur, Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",High Court
88C,High Court,Kundrathur,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",High Court
88C,High Court,Thandalam,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",High Court
152B,High Court,Hasthinapuram,"Chromepet, Pallavaram, Guindy, Adayar B.S, Mandaveli, Mylapore, LUZ, QMC, V.House, Secretariat",High Court
188C,High Court,Kundrathur,"Koovoor, Periyapannicherry, Kolapakkam, Manapakkam, Nandambakkam,Butt road, Kathipara, GuindyI.E, Little Mount, Saidapet, DMS, LIC,Central Railway Station",High Court
52B,Highcourt,Hasthinapuram,"Chromepet,Pallavaram, Guindy, Saidap et, DMS, TVS, LIC, Central RS",High Court
37E xt,Iyyapantha ngal,Kaviarasu Kannadasan Nagar,"M.K.B Nagar, Vysarpadi, V Nagar,Regal,Choolai P.O.,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Porur, SRMC",Iyyappanthangal
37G,Iyyapantha ngal,V Nagar,"Regal, Choolai P.O., Purasaivakkam,KMC, Chetpet,Ste rling road, Valluvarkottam, Liberty, Vadapalani, Porur, SRMC",Iyyappanthangal
M89T,Iyyapantha ngal,Amarambedu,"Porur, Kundrathur",Iyyappanthangal
11H,Iyyapantha ngal,High Court,"Virugambakkam, K.K.Nagar, Pondy Bazaar, Anna Salai, Marina Beach",Iyyappanthangal
12B xt,Iyyapantha ngal,Foreshore Estate,"Porur, Virugambakkam, Vadapalani, Liberty, Pondy Bazaar, Alwarpet, Luz, Santhome",Iyyappanthangal
17J,Iyyapantha ngal,CMBT,"SRMC, Porur, Valasarawakkam, Alwarthirunagar, Virugambakkam, Chinmaya nagar, Koyambedu Market",Iyyappanthangal
17M,Iyyapantha ngal,Broadway,"Porur, Virugambakkam, Vadapalani, Kodambakkam Power house, Liberty, Periyar Road, Valluvar kottam, Gemini, Thousand lights, TVS, LIC, Simpson, Central",Iyyappanthangal
21E,Iyyapantha ngal,Broadway,"Porur, Guindy, Adayar, Foreshore Estate, Anna Square",Iyyappanthangal
49,Iyyapantha ngal,Thiruvanmiyur,"Guindy, Porur",Iyyappanthangal
65R,Iyyapantha ngal,Ambattur I.E,"Ambattur OT, Avadi Market, Karaiyanchavadi, Kumananchavadi",Iyyappanthangal
254,Iyyapantha ngal,High Court,"SRMC, Porur, Ramapuram, Guindy, Saidapet, SIET, DMS, TVS, LIC, Central R.S.",Iyyappanthangal
166,Iyyappanth angal,Tambaram,"Ramachandra Hospital, Porur, Porur Powerhouse, Gerugumbakkam, Kovur, Moondram kattalai, Kundrathur, Anagaputtur, Pammal, Pallavaram, Chromepet",Iyyappanthangal
170L,Kallikuppa m,Vandalur Zoo,"Tambaram, Pallavaram, Guindy, Vadapalani, CMBT, Anna Nagar, Padi, Ambattur I.E, Ambattur OT, Pudur",Kallikuppam
248A,Kallikuppa,V Nagar,Pudur,Kallikuppam
170D,Kannadasa n Nagar,Guindy Estate,"Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani,Ashok Pillar, Ekkattuthangal",Kannadasan Nagar
2A xt,Kaviarasu Kannadasa n Nagar,Anna Square,M.K.B Nagar,Kannadasan Nagar
7G,Kaviarasu Kannadasa n Nagar,Broadway,"Moolakadai, Perambur market, Pattalam, Doveton, Periamedu, Central R.S",Kannadasan Nagar
M33xt,Kaviarasu Kannadasa n Nagar,Broadway,"M.K.B Nagar, Vyasarpadi, Basin Bridge, Mint, Mannadi",Kannadasan Nagar
37E xt,Kaviarasu Kannadasa n Nagar,Iyyapanthangal,"M.K.B Nagar, Vysarpadi, V Nagar,Regal,Choolai P.O.,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Porur, SRMC",Kannadasan Nagar
M116,Kaviarasu Kannadhas an Nagar,Broadway,"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",Kannadasan Nagar
121G,Kaviarasu Kannadasa n Nagar,CMBT,"Moolakadai, Retteri, Lucas, Thirumangalam",Kannadasan Nagar
170T,Kaviarasu Kannadasa n Nagar,Vandalur Zoo,"MR Nagar, Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram, Tambaram",Kannadasan Nagar
M21C,Kannagi Nagar,Central R.S,"Thoraipakkam, Perungudi, Thiruvanmiyur, Adayar, Mandaveli",Kannagi Nagar
M21F,Kannagi Nagar,Egmore,"Mettukuppam, Perugudi, Kandan chavadi, SRP Tools, Thiruvanmiyur, Adyar, AMS, Mandaveli, Mylapore, Ajantha, Royapettah, Wesley School, LIC, Pudhupet, Maternity Hospital",Kannagi Nagar
M21T,Kannagi Nagar,Broadway,"Santhome, Adyar, Perungudi",Kannagi Nagar
5G,Kannagi Nagar,T. Nagar,"Saidapet, Velachery, Taramani, RMZ, Perugudi",Kannagi Nagar
M19B,Kannagi Nagar,T. Nagar,"Saidapet, Adyar, Thiruvanmiyur, Jain College, Perungudi",Kannagi Nagar
21F,Kannagi nagar,Egmore,,Kannagi Nagar
T21,Kannagi Nagar,Broadway,"Thoraipakkam, Adyar, Marina",Kannagi Nagar
70S,Kannagi Nagar,CMBT,"Velachery, SRP Tools",Kannagi Nagar
M151K,Kannagi Nagar,Tambaram East,"CampRoad, Medavakkam, Shozhinganallur, Okkiam",Kannagi Nagar
T51 cut,Kannaki Nagar,Tambaram East,"Camp Road, Medavakkam, Sholinganallur",Kannagi Nagar
188K,Katrambak kam,T.Nagar,"Kundrathur, Koovoor, Periyapannicherry,Baikadai, Moulivakkam, Porur, Manapakkam, Nandambakkam,Butt road, Kathipara, Guindy I.E, Little Mount, Saidapet",Katrambakkam
219,Kelambakk am,Ambattur I.E,"Collector Nagar, Thirumangalam, Anna Arch, Choolaimedu, Mahalingapuram, T.Nagar, Saidapet, Madhya Kailash, Tidel Park, Thoraipakkam, Siruseri",Kelambakkam
221H,Kelambakk am,Central R.S,"LIC,DMS, Saidapet,IIT Chennai, Madhya Kailash, Tidel Park, Thoraipakkam, Sholinganallur, SIRUSERI",Kelambakkam
M5,Kelambakk am,Adyar,"Thiruvanmiyur, Perungudi, Sholinganallur",Kelambakkam
19B,Kelambakk am,Saidapet,"IIT Chennai, Madhya Kailash, Tidel Park, Thoraipakkam, SIRUSERI",Kelambakkam
19P,Kelambakk am,Adyar B.S.,"SRP Tools, Perugudi, Sholinganallur, Navalur, Thalambur, Sirusery, Pudupakkam, Chettinad Hospital",Kelambakkam
B19,Kelambakk am,Shozhinganallur,"Navallur, Siruseri",Kelambakkam
M19A,Kelambakk am,T. Nagar,"Saidapet, Adyar, Thiruvanmiyur, Perungudi",Kelambakkam
21H,Kelambakk am,Broadway,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Navalur",Kelambakkam
21H Cut,Kelambakk am,Thiruvanmiyur,"SRP Tools,Perungudi,Sholinganallur,Navalu r,Padur",Kelambakkam
21H xt,Kelambakk am,Thiruvotriyur,"Tollgate, Broadway, Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools,Perungudi,Sholinganallur,Navalu",Kelambakkam
M51D,Kelambakk am,Saidapet,"Velachery, Medavakkam, Ottiyambakkam, Karanai, Thalambur, Pudhupakkam, Chettinad Hospital",Kelambakkam
119G,Kelambakk am,Guindy,"Velachery, Navalur",Kelambakkam
515V,Kelambakk am,Vandalur,Mambakkam,Kelambakkam
551A,Kelambakk am,Tambaram East,"CampRoad, Medavakkam, Ponmar, Mambakkam, Pudupakkam, Chettinad Hospital",Kelambakkam
555G,Kelambakk am,Guduvanchery,"Urapakkam, Vandalur, Mambakkam",Kelambakkam
555P,Kelambakk am,Padappai,"Karasangal, Vandalur, Mambakkam",Kelambakkam
570,Kelambakk am,CMBT,"Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur, Padur",Kelambakkam
570A,Kelambakk am,Ambattur Estate,"CMBT, Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi,Sholinganallur, Navalur, Padur",Kelambakkam
572K,Kilanur,Ambattur I.E,"Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet",Kilanur
M18C,Kilkattalai,T.Nagar,"Madipakkam Koot Road, Nanganallur, Guindy, Saidapet",Kilkattalai
66K,Kilkattalai,Poonamallee,"Inchangadu, Pallavaram, Pammal, Anakaputhur, Kundrathur, Mangadu, Kumananchavadi, Karaiyanchavadi",Kilkattalai
70K,Kilkattalai,CMBT,"Velachery, Guindy, Ashok Pillar, Vadapalani",Kilkattalai
170N,Kilkattalai,Perambur,"Nanganallur, Guindy, Udhayam, Vadapalani, CMBT, Thirumangalam, Retteri, Venus",Kilkattalai
552K,Kilkattalai,Thirupporur,"Medavakkam, Sholinganallur, Kelamba kkam",Kilkattalai
52K,Keelkattalai,High Court,"Nanganallur, Aasargana, Guindy,Anna Salai",Kilkattalai
79K,Keelkattalai,Oragadam,"Padappai, Mudichur, West Tambaram, East Tambaram, Camp Road, Kamarajapuram, Medavakkam Koot Road, Kovilambakkam",Kilkattalai
M1,Kilkattalai,Thiruvanmiyur,"SRP Tools, Velachery, Kaiveli, Ram Nagar, Madipakkam",Kilkattalai
M12,Kilkattalai,High Court,"Gopalapuram, Teynampet, Velachery",Kilkattalai
18D,Kilkattalai,Broadway,"LIC, TVS, Saidapet, Guindy, St. Thomas Mount",Kilkattalai
21L xt,Kilkattalai,Broadway,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Velachery",Kilkattalai
M45,Kilkattalai,T. Nagar,"Saidapet, Velachery",Kilkattalai
M45E,Kilkattalai,Anna Square,"Triplicane, Chennai Citi Centre, Luz, Saidapet, Velachery",Kilkattalai
23C xt,Korattur,Thiruvanmiyur,"Lucas, Nathamuni, ICF, Ayanavaram, Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar",Korattur
7B,Korattur,Broadway,"Central R.S, Periamet, Vepery, Doveton, Pattalam, Otteri, Ayanavaram, Joint Office, ICF, Villivakkam, Nathamuni",Korattur
47D cut,Korattur,T.Nagar,"Adyar, T. Nagar, Sterling Road, Lucas",Korattur
65T,Korattur,Poonamallee,"Pattravakkam, Ambattur OT, Avadi Market, Karaiyanchavadi",Korattur
B21xt,Korukkupet,Medavakkam Koot Road,"V.Nagar, Parrys, Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Velacherry, Madipakkam Koot road, Kilkatalai, Kovilambakkam, Vellakal",Korukkupet
B18,Korukkupet,Vandalur Zoo,"Broadway, LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram",Korukkupet
32B,Korukkupet,V. House,"Vallalar nagar, Broadway, Central R.S., Simpson",Korukkupet
47C,Kotturpura m,Ambattur I.E,"Saidpet, T. Nagar, Mahalingapuram, Choolaimedu, Roundtana,",Kotturpuram
70V,Koyambed u,Guduvanchery,"Vadapalani, Pallavaram, Tambaram",Koyambedu
L18,Koyambed uMarket,Mudichur,"Vadapalani, Ashok pillar, Guindy, Pallavaram, Tambaram, Old Perugalathur",Koyambedu Market
62D,Koyambed u Market,Puzhal,,Koyambedu Market
62E,Koyambed u Market,Madanakuppam,,Koyambedu Market
70C,Koyambed u Market,Tambaram,"Vadapalani, Udhayam, Pallavaram, Tambaram",Koyambedu Market
70C xt,Koyambed u Market,Mambakkam,"CMBT, Vadapalani, Ashok nagar, Guindy, Pallavaram, Tambaram, Tambaram East, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, Jothi nagar, Sithalapakkam Housing board, Kovilancherry, Madurapakkam, Ponmar, Mambakkam Kulam",Koyambedu Market
114E,Koyambed u market,New Erumai Vettipalayam,"Red Hills, Puzhal, Nethaji Circle(byepass), Retteri",Koyambedu Market
114P,Koyambed u Market,Padiyanallur,"Puzhal, Nethaji circle, Retteri, Lucas, Thriumangalam",Koyambedu Market
12B xt,Koyambed u Market,Foreshore Estate,"CMBT, MMDA Colony, Vadapalani, Kodambakkam, Pondy Bazaar, Alwarpet, Luz, Santhome",Koyambedu Market
15F cut,Koyambed u Market,Broadway,"CMBT, Amijikarai, KMC, Dasaprakash, Central R.S",Koyambedu Market
114 cut,Koyambed u Market,Red Hills,"Puzhal, Nethaji Circle(byepass), Retteri, Thirumangalam",Koyambedu Market
159C,Koyambed u Market,Thiruvottiyur,"Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",Koyambedu Market
88C,Kundrathur,High Court,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",Kundrathur
88C cut,Kundrathur,T.Nagar,"Sirukalathur, Kundrathur B.S, Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",Kundrathur
88D,Kundrathur,Saidapet West,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, Srinivasa Theater",Kundrathur
88E,Kundrathur,Ekkadttuthangal,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy",Kundrathur
M88,Kundrathur,Vadapalani,Porur,Kundrathur
188C,Kundrathur,High Court,"Koovoor, Periyapannicherry, Kolapakkam, Manapakkam, Nandambakkam,Butt road, Kathipara, GuindyI.E, Little Mount, Saidapet, DMS, LIC,Central Railway Station",Kundrathur
566,Kundrathur,Thirupporur,"Anakaputhur, Pammal, Pallavaram, Chromepet, Tambaram Sanatorium, Tambaram, Vandalur, Kandigai, Mambakkam, Pudhupakkam, Chettinad Hospital, Kelambakkam",Kundrathur
60E,Kundrathur,Broadway,"Andankuppam, Anakaputtur, Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare",Kundrathur
66A,Kundrathur,Hasthinapuram,"Anakaputhur, Pammal, Pallavaram, Chromepet",Kundrathur
578,Kundrathur,Sriperumbudur,"Mangadu, Kumananchavadi, Poonamallee, Chembarambakkam, Irrungattukottai",Kundrathur
60A,Kundrathur Murugan Temple,High Court,"Kundrathur, Andankuppam, Anakaputhur, Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",Kundrathur Murugan Temple
T553,Kunnam,Thiruverkadu,"Kumananchavadi, Poonamallee, Irrungattukottai, Sriperumbudur, Sung uvarchatiram",Kunnam
54G,Kuthambak kam,Broadway,"Vellavedu, Thirumazhisai, Poonamallee, Porur, Guindy, DMS, TVS, LIC, Central R.S",Kuthambakkam
11A xt,M.K.B Nagar East,T.Nagar,"Annasalai, Central R.S, Parry's Corner, Stanley Hospital, Vallalar nagar, Vysarpadi",MKB Nagar
37E,M.K.B Nagar,Vadapalani,"Vysarpadi, V Nagar,Regal,Choolai P.O.,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty",MKB Nagar
170S,MKB Nagar East,CMBT,"Sarma Nagar, Moolakadai, Retteri, Thirumangalam, DMDK Office",MKB Nagar
2A,M.K.B Nagar,Anna Square,"Vyasarpadi, Basin Bridge, Regal, Elephant gate, Central R.S, P R & sons, Walaja Road, Bells Road",MKB Nagar
33,M.K.B Nagar,Broadway,"Vyasarpadi, Basin Bridge, Mint, Mannadi",MKB Nagar
29J,Madhavara m,Mandaveli,"Moolakadai, Perambur, Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore",Madhavaram
38H,Madhavara m,Broadway,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S",Madhavaram
38J,Madhavara m,T.Nagar,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S, Broadway, Central, LIC, TVS, DMS, Panagal Park",Madhavaram
48A,Madhavara m,Ambattur I.E,"Moolakadai, Perambur, Ayanavaram, ICF, Villivakkam, Padi",Madhavaram
162,Madhavara m,Poonamallee,"Koyambedu Junction, Mathuravoyal, Kumananchavadi, Karaiyanchavadi",Madhavaram
170A,Madhavara m,Vandalur Zoo,"Thapal petti, Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram, Tambaram",Madhavaram
56T,Madhavara m,Tiruvottiyur,MFL,Madhavaram
56W,Madhavara m,V Nagar,"Tondiarpet, Thiruvottriyur, MFL",Madhavaram
147,Madhavara m,T.Nagar,"Moolakadai, Retteri, Thirumangalam, Rountana, Loyola College, Mahalingapuram, Panagal park",Madhavaram
588,Mamallapu ram,Adyar,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Mamallapuram
588B,Mamallapu ram,Broadway,"Marina Beach, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Mamallapuram
588C,Mamallapu ram,CMBT,"Vadapalani, Ashok Nagar, Guindy, Adyar, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Mamallapuram
589,Mamallapu ram,Velachery,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Mamallapuram
515,Mamallapu ram,Tambaram,"Vandalur Zoo, Kolapakkam, Vengambakkam, Rathinamangalam, Kandigai, Melkottaiyur, Kilkottaiyur, Mambakkam, Pudhupakkam, Kelambakkam, Kalavakkam, Thirupporur, Thandalam, Paiyanoor",Mamallapuram
568,Mamallapu ram,Adyar,Rajiv Gandhi Salai,Mamallapuram
568C,Mamallapu ram,CMBT,Rajiv Gandhi Salai,Mamallapuram
599,Mamallapu ram,T. Nagar,"Saidapet, Adyar, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Mamallapuram
44B,Manali New Town,Triplicane,,Manali Pudhu Nagar
41D,Mandaveli,Avadi,"Ambattur OT, Korattur, Lucas,Thirumangalam, Amijikarai, KMC, Chetpet,Sterling road, Gemini,Teynampet,Nandanam, Adyar Gate",Mandaveli
41D Cut,Mandaveli,Senthil Nagar,"Thirumullaivoyal, Ambattur OT, Korattur, Amijikarai,KMC, Chetpet, Sterling road, Gemini,Teynampet, Nandanam",Mandaveli
41F,Mandaveli,CMBT,"Luz, Gemini, Valluvar Kottam, Loyola College, Choolaimedu, Anna Arch",Mandaveli
577,Mandaveli,Chengalpattu,"Singaperumal Koil, Maraimalai Nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Adyar, AMS",Mandaveli
3A,Mandaveli,High Court,"Mylapore, Luz, Alwarpet, Royapetah, L.I.C, Central",Mandaveli
21,Mandaveli,Broadway,"Mylapore, Luz, Ajanta, Express Avenue, L.I.C, Simpson, Central",Mandaveli
29,Mandaveli,Vinayagapuram,"Kolahur, Agaram, Venus, Ptaaalam, Doveton, Egmore, L.I.C, Royapettah, Luz, Mylapore",Mandaveli
29J,Mandaveli,Madhavaram,"Moolakadai, Perambur, Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore",Mandaveli
54F,Mandaveli,Poonamallee,"Kumananchavadi, Iyyapanthangal, Porur, Guindy, Adayar",Mandaveli
E18 xt,Maraimalai nagar,High Court,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo, Guduvanchery",Maraimalai Nagar
G18 xt,Maraimalai nagar,T.Nagar,"Saidapet, Guindy, Pallavaram, Chromepet, Tambaram, Vandalur Zoo, Guduvanchery",Maraimalai Nagar
552,Maraimalai Nagar,Velachery,Guindy,Maraimalai Nagar
118,Maraimalai Nagar I.E,Tambaram,"Irumbuliyur, Perugalathur, Vandalur Gate, Vandalur Zoo,Oorapakkam School, Oorapakkam Tea shop,Guduvanchery, SRM University",Maraimalai Nagar
29C xt,Mathur MMDA,Thiruvanmiyur,"Madhavaram Milk colony, Thapal petti, Moolakadai, Perambur",Mathur MMDA
29D,Mathur MMDA,V House,"Madhavaram Milk colony, Thapal petti, Moolakadai, Perambur, Otteri, Devoton, Egmore, Pudhupet, Walaja Road",Mathur MMDA
38A,Mathur MMDA,Broadway,,Mathur MMDA
162A,Mathur MMDA,Avadi,Puzhal,Mathur MMDA
270J,Mathur,CMBT,"Thirumangalam, Madhavaram",Mathur MMDA
147T,Mathur MMDA,T.Nagar,"Madhavaram, Moolakadai, Retteri, Thirumangalam, Rountana, Loyola College, Mahalingapuram, Panagal park",Mathur MMDA
H70,Menambed u,CMBT,Ambattur OT,Menambedu
L70,Menambed u,Tambaram,"Korattur, CMBT, Vadapalani, Udhayam Theater",Menambedu
40,Meenambe du,Anna Square,"Triplicane, Pudhupet, Egmore, Dasaprakash, Taylors road, ICF, Nathamuni, Lucas, Ambathur IE, Ambathur OT, Venkatapuram",Menambedu
64P,Minjur,Perambur,"Napalayam, Manali new town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai",Minjur
56P,Minjur Ne w Bus Stand,Broadway,"V. Nagar, TONDAIAYRPET, THIRUVETRIYUR B.S, SATHIYAMOORTHY NAGAR, NAPALAYAM, Minjur B.D.O",Minjur
M64B,Minjur,Broadway,"Napalayam, Manali New Town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai, Perambur market, Pulianthope, Doveton, Central R.S",Minjur
558A,Minjur,RedHills,Karanodai,Minjur
558L,Minjur,CMBT,"Redhills, Karanodai, Ponneri",Minjur
558M,Minjur N.T.,Red Hills,,Minjur
70W,Mugappair West,Velachery,"Wavin, Collector Nagar, CMBT, Vadapalani, Ashok Pillar, Guindy",Mogappair West
J70,Mogappair West,Guindy I.E,"Collector Nagar, CMBT, Vadapalani, Udhayam Theater",Mogappair West
558B,Moolakadai,Pazhaverkadu,"Madhavaram, Redhills, Karanodai, Ponneri, Kanchivoyal, Thirupalaivanam, Perliyambakkam, Pulicut",Moolakkadai
5K,Mylapore,Taramani,,Mylapore
M15,Mylapore,Medavakkam,"Adyar, Thiruvanmiyur, SRP Tools, Velachery, Pallikaranai",Mylapore
M15 xt,Mylapore,Tambaram East,"Adyar, Thiruvanmiyur, SRP Tools, Velachery, Pallikaranai, Medavakkam, Camp Road",Mylapore
5B,Mylapore,T. Nagar,"Saidapet, Anna University, Adyar, Sathyastudio, Mandaveli",Mylapore
12C,Mylapore,Saligramam,"Vadapalani, Rangarajapuram, Panagal Park, S.I.E.T, Adyar Gate, Mandaveli",Mylapore
M14,N.G.O Colony B.S,Medavakkam Junction,"Adambakkam, Vanuvampet, Ullagaram, Puzhithivakkam, Madipakkam Koot rd, Ganesh Nagar, Kilkattalai, Kovilambakkam, Vadakkupet, Vellaikal, Bell Nagar, Medavakkam",NGO Colony
52S,Nemilicheri,Pozhichalur,"Chromepet, Pallavaram",Nemilicherry
52E,Nemilicheri,High Court,"Chromepet, Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",Nemilicherry
52F,Nemilicheri,T.Nagar,"Chromepet, Pallavaram, Guindy, Saidapet",Nemilicherry
T51S,Okkiam Thoraippak kam,Guduvanchery,"Vandalur, Tambaram East, Camp Road, Medavakkam, Sholinganallur",Okkiyam Thoraippakkam
19C,Okkiam Thorapakka m,T. Nagar,"Saidapet, Madhya Kailash, Tidel park, SRP Tools, Perugudi",Okkiyam Thoraippakkam
129,Okkium Thoraipakk am,Perambur,"Perungudi, Tidel Park, Saidapet, Gemini, LIC, KMC, SHIVASHANMUGAPURAM",Okkiyam Thoraippakkam
79K,Oragadam,Keelkattalai,"Padappai, Mudichur, West Tambaram, East Tambaram, Camp Road, Kamarajapuram, Medavakkam Koot Road, Kovilambakkam",Oragadam
20C,Oragadam,Broadway,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT",Oragadam
27R,Oragadam,Anna Square,"Triplicane, LIC, DPI, Sterling Road, Choolaimedu, Anna Arch, Thirumangalam, Vavin, Ambattur I.E,Ambattur OT",Oragadam
27T,Oragadam,T.Nagar,"Ambattur OT, Ambattur I.E, Collector Nagar, CMBT, Vadapalani, Liberty, Bharathi nagar, Panagal park",Oragadam
248xt,Oragadam,V Nagar,"Ambattur, Ambattur IE, Padi, Lucas TVS, ICF, Joint Office, Otteri, Basin Bridge",Oragadam
M79,Padappai,T.Nagar,"Samthuvapuram, Karasangal, Mannivakkam, Mudichur, Old Perugalathur, Tambaram, Chromepet, Pallavaram, Meenambakkam, Asharkana, Guindy, Little mount, Saidapet",Padappai
80,Padappai,Tambaram,Manimangalam,Padappai
510,Padappai,CMBT,"Karasangal, Mudichur, Tambaram, Pallavaram, Ashok Pillar",Padappai
555P,Padappai,Kelambakkam,"Karasangal, Vandalur, Mambakkam",Padappai
579,Padappai,Broadway,"Karasangal, Mudichur, Tambaram, Pallavaram, Guindy, Saidapet, LIC",Padappai
579V,Padappai,Velachery,"Mudichur, Tambaram, Chromepet, Eachangadu, Kilkattalai, Madipakkam, Ram Nagar",Padappai
114T,Padiyanallu r,T.Nagar,"Panagal park, Liberty, Power house, Vadapalani Koil, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",Padiyanallur
242xt,Padiyanallu r,Broadway,"Perambur, Central R.S",Padiyanallur
T242,Padiyanallu r,Thiruvanmiyur,"Puzhal, Retteri, Kolathur, Perambur, Doveton, Vepery, Central R.S, Broadway, Marina, Santhome,Adyar",Padiyanallur
A57,Padiyanallu r,High Court,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red hills",Padiyanallur
62xt,Padiyanallu r,Poonamallee,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam, Red Hills",Padiyanallur
C70xt,Padiyanallu r,Guindy Estate,"Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",Padiyanallur
114P,Padiyanallu r,Koyambedu Market,"Puzhal, Nethaji circle, Retteri, Lucas, Thriumangalam",Padiyanallur
52T,Pallavaram,Thirumalai Nagar,"Chromepet, Hasthinapuram",Pallavaram
55A,Pallavaram,Pazhanthandala m,"Nagalkeni, Thiruneermalai, Thirumudivakkam",Pallavaram
