No,Start,Destination,Route
11,Broadway,T.Nagar,"Panagal park, Vani mahal, Thousand Lights, TVS, Central R.S"
A11,Broadway,T.Nagar,Kilpauk
15,Broadway,Anna NagarWest,"Amijikarai, KMC, Dasaprakash, Central R.S"
15A,Broadway,Anna Nagar West,Teynampet
15B,Broadway,CMBT,
15D,Broadway,Anna Nagar West,"Dasaprakash, Anna Hospital, 14 Shops"
15F,Broadway,Vadapalani,"Virugambakkam, Chinmaya nagar, Koyambedu Market, CMBT, Amijikarai, KMC, Dasaprakash, Central R.S"
15F cut,Broadway,Koyambedu Market,"CMBT, Amijikarai, KMC, Dasaprakash, Central R.S"
15G,Broadway,MMDA Colony,"Central, Egmore, Dasaprakash, KMC, Taylor's Road, Aminjikarai, Razakgarden, Watertank"
15L,Broadway,Athipet ICF colony,
17,Broadway,Vadapalani,"Central, Chindatripet, Egmore RS, Chetpet, Sterling road, Loyola college, Kodambakkam"
17A,Broadway,CMBT,"Koyambedu Market, Virugambakkam, Vadapalani, Gemini"
17B,Broadway,Mangadu,"Paranipathur, Baikadai, Moulivakkam, Porur, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central"
17C,Broadway,lyyapanthangal,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Virugambakkam, Valasarawakkam, Porur, SRMC"
17D,Broadway,K K Nagar,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Udhayam, Nesapakkam"
17E,Broadway,Saligramam,"Central, Chindatripet, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani"
17G,Broadway,Mogalivakkam,"Kedar Hospital, Ramapuram, Angalamman Koil, Alwarthirunagar, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central"
17K,Broadway,Dasarathapuram,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani"
17M,Broadway,Iyyapanthangal,"Porur, Virugambakkam, Vadapalani, Kodambakkam Power house, Liberty, Periyar Road, Valluvar kottam, Gemini, Thousand lights, TVS, LIC, Simpson, Central"
G17,Broadway,Mogalivakkam,"Kedar Hospital, Porur, Valsarawakkam, Alwarthirunagar, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central"
18,Broadway,Guindy,"Central R.S, Zimson, Shanthi Theater, LIC, TVS, Thousand Lights, DMS, Vanavil, SIET, Defence Accounts office, Nandanam, Saidapet"
18A,Broadway,Perugalathur,"LIC, TVS, Saidapet, Guindy, Pallavaram, Chromepet, Tambaram Sanatorium, Tambaram"
18D,Broadway,Kilkattalai,"LIC, TVS, Saidapet, Guindy, St. Thomas Mount"
18E,Broadway,Ramapuram,"LIC, TVS, Saidapet, Guindy, Nandambakkam"
18F,Broadway,Guindy,"Central R.S, Simpson, LIC, TVS, DMS, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West"
18K,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, CIT Nagar, Srinivasa, Mettupalayam"
K18,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy, Ekkaduthangal, Ashok nagar, Mettupalayam"
